"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"89","SU2_rep3","rep3","2","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.51,4
"90","SUP_rep3","rep3","P","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.83,20
"91","ST1_rep1","rep1","1","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.3,4
"92","ST2_rep1","rep1","2","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.18,20
"93","STP_rep1","rep1","P","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.22,4
"94","SU1_rep1","rep1","1","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.13,20
"95","SU2_rep1","rep1","2","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.91,4
"96","SUP_rep1","rep1","P","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.2,20
"97","ST1_rep2","rep2","1","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.32,4
"98","ST2_rep2","rep2","2","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.17,20
"99","STP_rep2","rep2","P","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.34,4
"100","SU1_rep2","rep2","1","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.26,20
"101","SU2_rep2","rep2","2","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.86,4
"102","SUP_rep2","rep2","P","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.22,20
"103","ST1_rep3","rep3","1","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.25,4
"104","ST2_rep3","rep3","2","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.17,20
"105","STP_rep3","rep3","P","ST",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.18,4
"106","SU1_rep3","rep3","1","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.28,20
"107","SU2_rep3","rep3","2","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.19,4
"108","SUP_rep3","rep3","P","SU",46.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.25,20
